Model,Features,Sampling,Accuracy,F1-Score,Precision,Recall
Logistic Regression,TFIDF,baseline,0.6455,0.3315,0.3128,0.3526
Logistic Regression,BERT,baseline,0.6412,0.3971,0.3417,0.474
Logistic Regression,ROBERTA,baseline,0.6311,0.4483,0.3574,0.6012
Logistic Regression,DISTILBERT,baseline,0.6182,0.4045,0.3309,0.5202
Logistic Regression,TFIDF,under_sampling,0.5418,0.374,0.2836,0.5491
Logistic Regression,BERT,under_sampling,0.5951,0.4182,0.3258,0.5838
Logistic Regression,ROBERTA,under_sampling,0.611,0.4512,0.348,0.6416
Logistic Regression,DISTILBERT,under_sampling,0.5764,0.4096,0.3138,0.5896
Logistic Regression,TFIDF,over_sampling,0.6412,0.2865,0.2841,0.289
Logistic Regression,BERT,over_sampling,0.6556,0.4099,0.3578,0.4798
Logistic Regression,ROBERTA,over_sampling,0.6542,0.4619,0.3773,0.5954
Logistic Regression,DISTILBERT,over_sampling,0.6354,0.4019,0.34,0.4913
Logistic Regression,TFIDF,smote,0.6441,0.3683,0.3303,0.4162
Logistic Regression,BERT,smote,0.6542,0.3939,0.3498,0.4509
Logistic Regression,ROBERTA,smote,0.6527,0.4609,0.3759,0.5954
Logistic Regression,DISTILBERT,smote,0.6441,0.4048,0.3471,0.4855
Random Forest,TFIDF,baseline,0.7118,0.2647,0.3636,0.2081
Random Forest,BERT,baseline,0.7507,0.0114,0.5,0.0058
Random Forest,ROBERTA,baseline,0.7522,0.0115,1.0,0.0058
Random Forest,DISTILBERT,baseline,0.7522,0.0115,1.0,0.0058
Random Forest,TFIDF,under_sampling,0.5706,0.3766,0.2951,0.5202
Random Forest,BERT,under_sampling,0.5591,0.3651,0.2848,0.5087
Random Forest,ROBERTA,under_sampling,0.5879,0.4211,0.324,0.6012
Random Forest,DISTILBERT,under_sampling,0.5879,0.4325,0.3293,0.6301
Random Forest,TFIDF,over_sampling,0.696,0.299,0.3516,0.2601
Random Forest,BERT,over_sampling,0.7579,0.0667,0.8571,0.0347
Random Forest,ROBERTA,over_sampling,0.7522,0.0549,0.5556,0.0289
Random Forest,DISTILBERT,over_sampling,0.7522,0.0851,0.5333,0.0462
Random Forest,TFIDF,smote,0.611,0.3216,0.2844,0.3699
Random Forest,BERT,smote,0.7392,0.3118,0.4556,0.237
Random Forest,ROBERTA,smote,0.7305,0.249,0.4079,0.1792
Random Forest,DISTILBERT,smote,0.719,0.2353,0.3659,0.1734
XGBoost,TFIDF,baseline,0.6816,0.3028,0.3333,0.2775
XGBoost,BERT,baseline,0.7161,0.2275,0.3537,0.1676
XGBoost,ROBERTA,baseline,0.7334,0.2912,0.4318,0.2197
XGBoost,DISTILBERT,baseline,0.7248,0.2738,0.4,0.2081
XGBoost,TFIDF,under_sampling,0.6052,0.3538,0.2988,0.4335
XGBoost,BERT,under_sampling,0.5461,0.3836,0.2899,0.5665
